id,key,value,type
7053756,maxspeed,30,regular
7053769,highway,service,regular
7053769,service,parking_aisle,regular
7053782,highway,unclassified,regular
7053801,name,Symfonielaan,regular
7053801,highway,service,regular
7053801,service,parking_aisle,regular
7053821,name,Bombardonlaan,regular
7053821,highway,residential,regular
7053840,name,Bombardonlaan,regular
7053840,highway,residential,regular
7053856,lit,yes,regular
7053856,name,Thorbeckeplaats,regular
7053856,highway,service,regular
7053856,service,parking_aisle,regular
7053856,surface,paving_stones,regular
7053856,maxspeed,30,regular
7053875,lit,yes,regular
7053875,name,Pierre Kemphove,regular
7053875,highway,residential,regular
7053875,surface,paving_stones,regular
7053875,maxspeed,30,regular
7053894,lit,yes,regular
7053894,name,Bertus Aafjeshove,regular
7053894,highway,residential,regular
7053894,surface,paving_stones,regular
7053894,maxspeed,30,regular
7053911,name,Anne de Vrieshove,regular
7053911,highway,unclassified,regular
7053911,surface,asphalt,regular
7053911,maxspeed,50,regular
7053930,lit,yes,regular
7053930,name,Thorbeckepark,regular
7053930,highway,residential,regular
7053930,surface,paving_stones,regular
7053930,maxspeed,30,regular
7053950,lit,yes,regular
7053950,name,Herman Heijermanshove,regular
7053950,oneway,yes,regular
7053950,highway,unclassified,regular
7053950,maxspeed,30,regular
7053971,lit,yes,regular
7053971,name,Schermerhornpark,regular
7053971,access,private,regular
7053971,highway,service,regular
7053971,service,parking_aisle,regular
7053971,surface,paving_stones,regular
7053995,lit,yes,regular
7053995,name,Rembrandthage,regular
7053995,source,local survey,regular
7053995,highway,service,regular
7053995,service,parking_aisle,regular
7053995,surface,paving_stones,regular
7054018,lit,yes,regular
7054018,name,Rembrandthage,regular
7054018,highway,service,regular
7054018,service,parking_aisle,regular
7054018,surface,paving_stones,regular
7054035,name,Pandorapad,regular
7054035,source,survey,regular
7054035,highway,cycleway,regular
7054035,surface,paved 30x30,regular
7054052,name,Accordeonlaan,regular
7054052,highway,residential,regular
7054052,surface,paving_stones,regular
7054080,lit,yes,regular
7054080,name,Willem de Mérodehove,regular
7054080,highway,residential,regular
7054080,surface,paving_stones,regular
7054080,maxspeed,30,regular
7054098,lit,yes,regular
7054098,name,Willem Bilderdijkhove,regular
7054098,highway,residential,regular
7054098,surface,paving_stones,regular
7054098,maxspeed,30,regular
7054125,name,Galecopperdijk,regular
7054125,bicycle,yes,regular
7054125,highway,unclassified,regular
7054125,maxspeed,50,regular
7054143,foot,no,regular
7054143,mofa,no,regular
7054143,name,Galecopperlaan,regular
7054143,bicycle,no,regular
7054143,highway,tertiary,regular
7054143,surface,asphalt,regular
7054143,junction,roundabout,regular
7054143,maxspeed,50,regular
7054164,foot,no,regular
7054164,mofa,no,regular
7054164,name,A.C. Verhoefweg,regular
7054164,lanes,2,regular
7054164,moped,no,regular
7054164,oneway,yes,regular
7054164,bicycle,no,regular
7054164,highway,secondary,regular
7054164,surface,asphalt,regular
7054164,man_made,embankment,regular
7054189,foot,no,regular
7054189,name,Orteliuslaan,regular
7054189,oneway,yes,regular
7054189,bicycle,no,regular
7054189,highway,tertiary,regular
7054189,maxspeed,50,regular
7054228,name,Janssoniuslaan,regular
7054228,highway,unclassified,regular
7054228,maxspeed,50,regular
7054247,foot,no,regular
7054247,name,Orteliuslaan,regular
7054247,oneway,yes,regular
7054247,bicycle,no,regular
7054247,highway,unclassified,regular
7054247,maxspeed,50,regular
7054276,foot,no,regular
7054276,name,Papendorpseweg,regular
7054276,oneway,yes,regular
7054276,bicycle,no,regular
7054276,highway,tertiary,regular
7054276,maxspeed,50,regular
7054300,foot,no,regular
7054300,name,Papendorpseweg,regular
7054300,oneway,yes,regular
7054300,bicycle,no,regular
7054300,highway,tertiary,regular
7054300,maxspeed,50,regular
7054329,ref,A12,regular
7054329,note,Parallelrijbaan,regular
7054329,lanes,2,regular
7054329,oneway,yes,regular
7054329,highway,motorway,regular
7054329,surface,asphalt,regular
7054329,maxspeed,100,regular
7054350,ref,A2,regular
7054350,lanes,2,regular
7054350,oneway,yes,regular
7054350,highway,motorway_link,regular
7054350,int_ref,E 25,regular
7054350,surface,asphalt,regular
7054350,maxspeed,80,regular
7054369,highway,service,regular
7054386,foot,no,regular
7054386,name,Blaeulaan,regular
7054386,bicycle,no,regular
7054386,highway,tertiary,regular
7054386,maxspeed,50,regular
7054408,ref,A12,regular
7054408,lanes,2,regular
7054408,layer,-1,regular
7054408,oneway,yes,regular
7054408,tunnel,yes,regular
7054408,highway,motorway_link,regular
7054408,int_ref,E 35,regular
7054408,surface,asphalt,regular
7054408,maxspeed,100,regular
7054436,lit,yes,regular
7054436,ref,A2,regular
7054436,note,Parallelrijbaan,regular
7054436,lanes,2,regular
7054436,layer,1,regular
7054436,bridge,yes,regular
7054436,oneway,yes,regular
7054436,highway,motorway,regular
7054436,surface,asphalt,regular
7054436,maxspeed,100,regular
7054469,lit,yes,regular
7054469,ref,A2,regular
7054469,lanes,2,regular
7054469,oneway,yes,regular
7054469,highway,motorway_link,regular
7054469,int_ref,E 25,regular
7054469,surface,asphalt,regular
7054469,maxspeed,80,regular
7054489,lit,yes,regular
7054489,name,Batauweg,regular
7054489,highway,tertiary,regular
7054489,surface,asphalt,regular
7054489,cycleway,lane,regular
7054489,maxspeed,30,regular
7054505,lit,yes,regular
7054505,name,Hooiersweide,regular
7054505,highway,residential,regular
7054505,surface,paving_stones,regular
7054505,maxspeed,30,regular
7054520,lit,yes,regular
7054520,name,Maurice Roelantshove,regular
7054520,highway,residential,regular
7054520,surface,paving_stones,regular
7054520,maxspeed,30,regular
7054532,lit,yes,regular
7054532,name,Ernest Claeshove,regular
7054532,highway,residential,regular
7054532,surface,paving_stones,regular
7054532,maxspeed,30,regular
7054532,etymology:wikidata,Q1356304,name
7054550,lit,yes,regular
7054550,name,Karnweide,regular
7054550,highway,residential,regular
7054550,surface,paving_stones,regular
7054550,maxspeed,30,regular
7054565,lit,yes,regular
7054565,name,Stijn Streuvelshove,regular
7054565,highway,residential,regular
7054565,surface,paving_stones,regular
7054565,maxspeed,30,regular
7054565,etymology:wikidata,Q175669,name
7054580,lit,yes,regular
7054580,name,Hakweide,regular
7054580,highway,residential,regular
7054580,surface,paving_stones,regular
7054591,lit,yes,regular
7054591,name,Dorsvlegelweide,regular
7054591,highway,residential,regular
7054591,surface,paving_stones,regular
7054591,maxspeed,30,regular
7054606,lit,yes,regular
7054606,name,Polluxburg,regular
7054606,source,survey,regular
7054606,highway,residential,regular
7054606,surface,paving_stones,regular
7054606,maxspeed,30,regular
7054619,lit,yes,regular
7054619,name,Colijnpark,regular
7054619,highway,residential,regular
7054619,surface,paving_stones,regular
7054619,maxspeed,30,regular
7054643,lit,yes,regular
7054643,name,Abraham Kuyperpark,regular
7054643,highway,service,regular
7054643,service,parking_aisle,regular
7054643,surface,paving_stones,regular
7054643,maxspeed,30,regular
7054656,lit,yes,regular
7054656,name,Colijnpark,regular
7054656,highway,service,regular
7054656,service,parking_aisle,regular
7054656,surface,paving_stones,regular
7054656,maxspeed,30,regular
7054669,lit,yes,regular
7054669,name,Lode Zielenshove,regular
7054669,highway,residential,regular
7054669,surface,paving_stones,regular
7054669,maxspeed,30,regular
7054689,lit,yes,regular
7054689,name,Colijnpark,regular
7054689,highway,residential,regular
7054689,surface,paving_stones,regular
7054689,maxspeed,30,regular
7054705,lit,yes,regular
7054705,name,Ferdinand Bolhage,regular
7054705,oneway,yes,regular
7054705,highway,residential,regular
7054705,surface,paving_stones,regular
7054705,maxspeed,30,regular
7054718,lit,yes,regular
7054718,name,Floris van Dyckhage,regular
7054718,highway,residential,regular
7054718,surface,paving_stones,regular
7054718,maxspeed,30,regular
7054733,lit,yes,regular
7054733,name,Willem Elsschothove,regular
7054733,highway,residential,regular
7054733,surface,paving_stones,regular
7054733,maxspeed,30,regular
7054753,lit,yes,regular
7054753,name,Pieter de Hooghhage,regular
7054753,highway,residential,regular
7054753,surface,paving_stones,regular
7054753,maxspeed,30,regular
7054763,name,Johannes Vermeerhage,regular
7054763,highway,footway,regular
7054763,surface,paving_stones:30,regular
7054778,name,Johannes Vermeerhage,regular
7054778,highway,footway,regular
7054778,surface,paving_stones:30,regular
7054793,lit,yes,regular
7054793,name,Paulus Potterhage,regular
7054793,highway,residential,regular
7054793,surface,paving_stones,regular
7054793,maxspeed,30,regular
7054806,lit,yes,regular
7054806,name,Mercuriusburg,regular
7054806,source,survey,regular
7054806,highway,residential,regular
7054806,surface,paving_stones,regular
7054806,maxspeed,30,regular
7054818,lit,yes,regular
7054818,name,Carel Fabritiushage,regular
7054818,highway,residential,regular
7054818,surface,paving_stones,regular
7054818,maxspeed,30,regular
7054831,lit,yes,regular
7054831,name,Dorsvlegelweide,regular
7054831,highway,residential,regular
7054831,surface,paving_stones,regular
7054831,maxspeed,30,regular
7054845,lit,yes,regular
7054845,name,Floris van Dyckhage,regular
7054845,highway,residential,regular
7054845,surface,paving_stones,regular
7054845,maxspeed,30,regular
7054856,lit,yes,regular
7054856,name,Pieter Aertsenhage,regular
7054856,highway,residential,regular
7054856,surface,paving_stones,regular
7054856,maxspeed,30,regular
7054871,lit,yes,regular
7054871,name,Colijnpark,regular
7054871,highway,service,regular
7054871,service,parking_aisle,regular
7054871,surface,paving_stones,regular
7054883,name,Hindeweide,regular
7054883,highway,residential,regular
7054883,maxspeed,30,regular
7054896,name,Dasseweide,regular
7054896,highway,unclassified,regular
7054910,name,Galecopperlaan,regular
7054910,highway,tertiary,regular
7054910,maxspeed,50,regular
7054940,name,Galecopperlaan,regular
7054940,highway,tertiary,regular
7054940,maxspeed,50,regular
7054960,name,Batauweg,regular
7054960,oneway,yes,regular
7054960,source,survey,regular
7054960,highway,tertiary,regular
7054960,surface,asphalt,regular
7054960,cycleway,track,regular
7054960,maxspeed,30,regular
7054993,name,Reinesteijnseweg,regular
7054993,highway,unclassified,regular
7054993,maxspeed,30,regular
7055010,name,Meerkoetsingel,regular
7055010,highway,living_street,regular
7055010,surface,paving_stones,regular
7055010,maxspeed,30,regular
7055024,name,Nypelsplantsoen,regular
7055024,note,Op het straatnaambordje staat Nypelsplantsoen met een y.,regular
7055024,highway,service,regular
7055024,service,parking_aisle,regular
7055037,name,Kruyderlaan,regular
7055037,highway,unclassified,regular
7055037,surface,paving_stones,regular
7055054,lit,yes,regular
7055054,name,Baarnseveste,regular
7055054,highway,residential,regular
7055054,surface,paving_stones,regular
7055054,maxspeed,30,regular
7055081,name,Werkmanlaan,regular
7055081,highway,unclassified,regular
7055098,name,Kruyderlaan,regular
7055098,highway,unclassified,regular
7055098,surface,paving_stones,regular
7055113,name,Nypelsplantsoen,regular
7055113,note,Op het straatnaambordje staat Nypelsplantsoen met een y.,regular
7055113,highway,unclassified,regular
7055130,lit,yes,regular
7055130,name,Zandwal,regular
7055130,highway,residential,regular
7055130,surface,paving_stones,regular
7055147,lit,yes,regular
7055147,name,Meerwal,regular
7055147,highway,residential,regular
7055147,surface,paving_stones,regular
7055161,name,Deldenseschans,regular
7055161,highway,residential,regular
7055176,name,Zoutkamperschans,regular
7055176,highway,residential,regular
7055191,name,Zoomstede,regular
7055191,highway,service,regular
7055208,name,Noordstedeweg,regular
7055208,oneway,no,regular
7055208,bicycle,use_sidepath,regular
7055208,highway,tertiary,regular
7055208,maxspeed,50,regular
7055226,name,Noordstedeweg,regular
7055226,oneway,yes,regular
7055226,bicycle,use_sidepath,regular
7055226,highway,tertiary,regular
7055226,maxspeed,50,regular
7055245,lit,yes,regular
7055245,foot,no,regular
7055245,name,Zuidstedeweg,regular
7055245,horse,no,regular
7055245,lanes,3,regular
7055245,moped,no,regular
7055245,oneway,yes,regular
7055245,bicycle,no,regular
7055245,highway,secondary,regular
7055245,surface,asphalt,regular
7055245,maxspeed,50,regular
7055264,lit,yes,regular
7055264,name,Rigolettoplantsoen,regular
7055264,highway,living_street,regular
7055264,surface,paving_stones,regular
7055276,lit,yes,regular
7055276,name,Rigolettoplantsoen,regular
7055276,highway,living_street,regular
7055276,surface,paving_stones,regular
7055290,name,Bazuinlaan,regular
7055290,highway,living_street,regular
7055290,surface,paving_stones,regular
7055301,name,Jachthoornlaan,regular
7055301,highway,residential,regular
7055301,motor_vehicle,noexit,access
7055312,name,Bazuinlaan,regular
7055312,highway,living_street,regular
7055327,lit,yes,regular
7055327,name,Professor Doctor Hesselaan,regular
7055327,highway,unclassified,regular
7055327,surface,paving_stones,regular
7055340,lit,yes,regular
7055340,name,Orpheuslaan,regular
7055340,highway,living_street,regular
7055340,surface,paving_stones,regular
7055351,lit,yes,regular
7055351,name,Arabellaplantsoen,regular
7055351,highway,living_street,regular
7055351,surface,paving_stones,regular
7055363,highway,footway,regular
7055363,surface,paving_stones,regular
7055375,name,Bartokstraat,regular
7055375,highway,unclassified,regular
7055389,lit,yes,regular
7055389,name,Carmenlaan,regular
7055389,highway,living_street,regular
7055389,surface,paving_stones,regular
7055404,name,Schalmei,regular
7055404,highway,unclassified,regular
7055422,name,Carillonlaan,regular
7055422,highway,residential,regular
7055434,name,Carillonlaan,regular
7055434,highway,residential,regular
7055447,name,Bartokstraat,regular
7055447,highway,unclassified,regular
7055462,name,Bartokstraat,regular
7055462,highway,unclassified,regular
7055476,name,Ten Baanstraat,regular
7055476,oneway,yes,regular
7055476,highway,living_street,regular
7055476,surface,paving_stones,regular
7055491,lit,yes,regular
7055491,name,Professor Doctor Claylaan,regular
7055491,highway,unclassified,regular
7055491,surface,asphalt,regular
7055507,name,Strawinskystraat,regular
7055507,highway,unclassified,regular
7055522,name,Verdistraat,regular
7055522,highway,unclassified,regular
7055538,name,Nedereindseweg,regular
7055538,highway,unclassified,regular
7055538,surface,paving_stones,regular
7055538,maxspeed,30,regular
7055554,lit,yes,regular
7055554,name,Drilleveld,regular
7055554,highway,living_street,regular
7055554,surface,paving_stones,regular
7055566,name,Breitnerlaan,regular
7055566,highway,unclassified,regular
7055579,name,Mendes da Costalaan,regular
7055579,highway,residential,regular
7055591,lit,yes,regular
7055591,name,Professor Doctor Claylaan,regular
7055591,highway,unclassified,regular
7055591,surface,asphalt,regular
7055607,lit,yes,regular
7055607,name,Vredebestlaan,regular
7055607,highway,unclassified,regular
7055607,surface,paving_stones,regular
7055625,lit,yes,regular
7055625,name,Van Doesburglaan,regular
7055625,highway,residential,regular
7055625,surface,asphalt,regular
7055625,maxspeed,30,regular
7055645,name,Richterslaan,regular
7055645,highway,unclassified,regular
7055658,lit,yes,regular
7055658,name,Raedeckerplantsoen,regular
7055658,highway,unclassified,regular
7055678,name,Diepenbrocklaan,regular
7055678,highway,tertiary,regular
7055678,maxspeed,30,regular
7055693,lit,yes,regular
7055693,foot,no,regular
7055693,bicycle,no,regular
7055693,highway,secondary,regular
7055693,surface,asphalt,regular
7055693,junction,roundabout,regular
7055693,maxspeed,50,regular
7055707,name,Ringslangweide,regular
7055707,highway,living_street,regular
7055718,name,Appelgaarde,regular
7055718,highway,living_street,regular
7055729,lit,yes,regular
7055729,name,Vosseweide,regular
7055729,highway,living_street,regular
7055729,surface,paving_stones,regular
7055741,name,Braamgaarde,regular
7055741,highway,living_street,regular
7055741,maxspeed,15,regular
7055755,lit,yes,regular
7055755,name,Rapierburg,regular
7055755,highway,residential,regular
7055755,surface,paving_stones,regular
7055755,maxspeed,30,regular
7055769,lit,yes,regular
7055769,name,Vosseweide,regular
7055769,highway,living_street,regular
7055769,surface,paving_stones,regular
7055780,name,Agaatdrift,regular
7055780,highway,living_street,regular
7055780,maxspeed,30,regular
7055793,highway,unclassified,regular
7055793,name,Richterslaan,regular
7055793,surface,paving_stones,regular
7055808,name,Elandweide,regular
7055808,highway,living_street,regular
7055808,surface,paving_stones,regular
7055821,name,Braamgaarde,regular
7055821,highway,living_street,regular
7055834,lit,yes,regular
7055834,name,Dukatenburg,regular
7055834,highway,unclassified,regular
